id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
population,Population et infrastructures,,,10,3,,,"population, unraidable, no_saturation_bombardment",,graphics/icons/industry/population.png,com.fs.starfarer.api.impl.campaign.econ.impl.PopulationAndInfrastructure,"L'infrastructure de base nécessaire pour subvenir aux besoins d'une population donnée, des modules d'habitation orbitaux branlants aux mégalopoles et tout le reste.",100,
farming,Agriculture,15,60,,1,,,"farming, industry, rural",,graphics/icons/industry/farming.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"L'agriculture est un commerce et une technologie aussi anciens que la civilisation elle-même ; pendant des milliers de cycles, l’humanité a exploité la puissance des machines biologiques naturelles, modifiées et artificielles pour se nourrir. Il en a toujours été ainsi, et il en sera ainsi aussi longtemps que les humains seront humains.",200,LOW
aquaculture,Aquaculture,50,60,,3,,,"farming, industry, rural",,graphics/icons/industry/aquaculture.png,com.fs.starfarer.api.impl.campaign.econ.impl.Farming,"L’agriculture sur un monde aquatique nécessite un investissement initial important dans la bio-ingénierie des espèces adaptées, mais une fois le processus lancé, les fermes d’algues et les pêcheries peuvent être exploitées par la population sans nécessiter beaucoup de formation ou d’équipement spécialisé.",210,MEDIUM
mining,Exploitation minière,20,60,,2,,,"mining, industry, industrial",,graphics/icons/industry/mining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Mining,"Les minerais métalliques et métalloïdes, les matières organiques et les composés volatils nécessitent tous des équipements lourds, des infrastructures spéciales et une main-d’œuvre qualifiée pour être extraits. Le travail pénible attire un certain type de personnel, et une administration qui ne veut pas détourner le regard de temps en temps peut se retrouver à court de personnel volontaire.",300,MEDIUM
techmining,Tech-Mining,30,45,,2,,,"techmining, industry, industrial",,graphics/icons/industry/techmining.png,com.fs.starfarer.api.impl.campaign.econ.impl.TechMining,"Le Techmining est l'art hétéroclite de récupérer des artefacts précieux dans les ruines du domaine. Nécessite des outils spéciaux pour faire face à des dangers uniques et un jugement d'expert pour savoir où chercher une bonne récolte de boules. Les technomineurs les plus âgés sont un groupe étrange, brandissant des porte-bonheur et refusant de travailler sans leurs rituels.",400,MEDIUM
refining,Raffinage,45,90,,3,,,"refining, industry, industrial",,graphics/icons/industry/refining.png,com.fs.starfarer.api.impl.campaign.econ.impl.Refining,"Les fonderies convertissent ici les minerais et les minerais transplutoniques en métaux et transplutoniques, respectivement. La robotique téléopérée est généralement utilisée pour gérer les tâches les plus dangereuses.",500,MEDIUM
spaceport,Port spatial,10,15,,3,,megaport,"spaceport, important, structure",,graphics/icons/industry/spaceport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,Installations pour charger et décharger des marchandises et effectuer des réparations de base sur les vaisseaux spatiaux. Une colonie sans port spatial est pratiquement inaccessible au commerce interstellaire.,150,HIGH
megaport,Mégaport,60,150,,4,spaceport,,"spaceport, structure",,graphics/icons/industry/megaport.png,com.fs.starfarer.api.impl.campaign.econ.impl.Spaceport,"Un vaste spatioport où les étoiles peuvent toucher la terre. Des portiques d'atterrissage régimentés et des réservoirs de carburant blindés sont reliés entre eux par des routes d'accès et des tramways de fret sur de courtes distances alimentant une vaste zone d'entrepôts et de terminaux logistiques, rendant la colonie beaucoup plus accessible.",151,EXTREME
lightindustry,Industrie légère,45,90,,8,,,"lightindustry, industry, rural",,graphics/icons/industry/light_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.LightIndustry,Produit des biens domestiques et de luxe. L’une des rares industries relativement épargnées par l’effondrement en raison de sa nature low-tech.,1400,MEDIUM
heavyindustry,Industrie lourde,100,120,,12,,orbitalworks,"heavyindustry, uses_blueprints, industry, industrial",,graphics/icons/industry/heavy_industry.png,com.fs.starfarer.api.impl.campaign.econ.impl.HeavyIndustry,"Infrastructure de fabrication centralisée pour la production d’équipements industriels lourds, de fournitures et d’armes. Également capable de produire des vaisseaux à peine dignes de l'espace ; une nanoforge peut être installée pour améliorer la qualité de la production.",1600,HIGH
