name,id,planetary,decivRemove,script,desc,icon,order
Politique urbanisée,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"Centre de population dense et cosmopolite, des gens de tous horizons vivent, travaillent et meurent dans des complexes résidentiels empilés, des halls commerciaux et des ateliers modulaires.",graphics/icons/markets/urbanized_polity.png,130
Politique industrielle,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"Un centre industriel animé. Les politiques du gouvernement local encouragent une industrie prospère, aux dépens de toutes les autres préoccupations.",graphics/icons/markets/urbanized_polity.png,130
Politique rurale,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"Un régime politique peu peuplé de fermes et de cantons insulaires. En ces temps troublés, les étrangers sont généralement traités avec méfiance.",graphics/icons/markets/rural_polity.png,130
Importante population de réfugiés,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Des réfugiés désespérés fuyant une catastrophe se sont retrouvés ici. Les réfugiés vivent au bas de la société avec peu de possibilités d’amélioration, ce qui met à rude épreuve les infrastructures nationales et vit dans un statut semi-légal tendu. Production globale réduite. On trouvera probablement davantage de membres d’équipage potentiels parmi ceux qui tentent d’échapper aux conditions de vie sordides.",graphics/icons/markets/refugee_population.png,140
Enclos à homards volturniens,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Un mélange de plusieurs espèces de l'Ancienne Terre et un peu d'imagination ont donné naissance à cette créature qui pousse à l'état sauvage dans les profondeurs écrasantes des fonds marins de Volturn. On dit que la saveur est exceptionnelle.,graphics/icons/markets/lobster_pens.png,137
Vice-demande,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,La demande de biens de vice est ici inhabituellement élevée.,graphics/icons/markets/vice_demand.png,145
Crime organisé,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Les activités criminelles produisent de la drogue et des prélèvements d'organes. Augmente la demande d'armes de poing (par les divers chefs du crime et par les citoyens locaux) et de marines (par les autorités locales).,graphics/icons/markets/organized_crime.png,148
Frontière,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Loin des centres cosmopolites de population, la simple survie, l'autonomie et le strict nécessaire sont les règles de la frontière. Demande accrue d’armes et de fournitures, demande réduite de produits de luxe.",graphics/icons/markets/frontier.png,130
Centre de Démolition,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"Centre majeur de démolition navale dans cette région du Secteur, les carcasses y sont vouées à la ferraille par les marines des factions majeures et de nombreux autres clients issus des mondes centraux du Secteur.",graphics/icons/markets/shipbreaking.png,360
Centre commercial,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"Centre commercial majeur, les navires marchands de tout le secteur accostent ici dans l'espoir de trouver un acheteur pour leurs marchandises et de trouver quelque chose à acheter à leur tour pour un joli profit.",graphics/icons/markets/trade_center.png,280
