id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Leave,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",Une balise d’avertissement autonome émet désormais un cri déformé entre les canaux officiels. Le message qu’il était censé transmettre a été corrompu.,beaconLeave:Leave,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""DANGER : ce système stellaire est connu pour contenir des systèmes d'armes autonomes potentiellement actifs. L'accès à ce système par des parties non autorisées est interdit par le diktat 224.34 de l'Hégémonie Navy.""",beaconLeave:Leave,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""DANGER : ce système stellaire est connu pour contenir des systèmes d'armes autonomes potentiellement actifs. L'accès à ce système par des parties non autorisées est interdit par le diktat 224.34 de l'Hégémonie Navy.""",beaconLeave:Leave,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""DANGER : ce système stellaire est connu pour contenir des systèmes d'armes autonomes potentiellement actifs. L'accès à ce système par des parties non autorisées est interdit par le diktat 224.34 de l'Hégémonie Navy.""",beaconLeave:Leave,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""Ce monde est corrompu par le péché technologique et son abomination témoigne du résultat de l'écart du chemin de la vertu. L'intrusion est interdite. Quiconque méprise cet avertissement deviendra à la fois corrompu physiquement et hors-la-loi par la sainte justice imposée par cet ordre de les Chevaliers de Ludd.""",beaconLeave:Leave,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, abandonné d’un autre âge.

La Porte est inerte.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Devant vous, vaste et puissant, pend un anneau adamantin, abandonné d’un âge antérieur.

Vous avez scanné cette Porte et découvert le rythme du cœur secret de la chose, caché dans un espace vide. Utiliser le dispositif Janus pour créer un pont vers une autre porte nécessite une énorme quantité de carburant. Plus la cible est éloignée, plus il faut de carburant.

Le dispositif Janus fonctionne en transférant d'énormes quantités d'énergie particulièrement échelonnées via le champ hyperdrive d'un vaisseau principal pour stabiliser une connexion directe de porte à porte.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Devant vous, vaste et puissant, pend un anneau adamantin, abandonné d’un âge antérieur.

Vous avez scanné cette Porte et découvert le rythme du cœur secret de la chose, caché dans un espace vide. Utiliser le dispositif Janus pour créer un pont vers une autre porte nécessite une énorme quantité de carburant. Plus la cible est éloignée, plus il faut de carburant.

Vous devez intégrer le dispositif Janus dans votre flotte pour utiliser la porte.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, abandonné d’un autre âge.

Votre agent des capteurs hoche la tête à votre signal. Votre interface de commande s'allume. « EXECUTE SCAN » clignote dans l'expectative. La Porte attend, aussi froide qu'un tombeau.",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, abandonné d’un autre âge.

Vous avez scanné cette Porte et découvert le rythme du cœur secret de la chose, caché dans un espace vide.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, abandonné d’un autre âge.

Votre agent des capteurs vous fait un signe de tête ; le scanner hyperonde est prêt. Les mots « EXECUTE SCAN » clignotent dans l'expectative dans votre interface de commande.

Vous aurez besoin d'un scan de ce Gate pour pouvoir l'utiliser, avec le dispositif Janus, comme point d'accès ou de sortie du réseau Gate.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","Vous ordonnez à votre $shipOrFleet de traverser la passerelle morte. Votre équipage à la passerelle est particulièrement silencieux pendant le passage.

Il ne se passe rien.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Votre affichage de commande est recouvert d’une représentation du collecteur hyperespace entourant la Porte. C'est calme et frais, dépourvu de sillages.

Alors que l'analyse commence, vous observez une ligne de perturbation éclater entre l'icône représentant votre vaisseau amiral et l'icône représentant la Porte. Des spirales et des ondulations se répandent en vagues non newtoniennes, surgissant d'un point situé au centre de la Porte. Non, ce n'est pas un point – un cercle, une sphère, un tore et un entonnoir inversé ; puis une autre forme qui vous fait fermer les yeux. Vous entendez une faible musique de loin.

""Capitaine?"" Votre agent de détection vous regarde : « L'analyse est terminée ». Vous réalisez que c'est la deuxième fois qu'ils disent cela, et vous faites un geste comme si vous étiez simplement perdu dans vos pensées.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Votre écran de commande affiche une représentation de la variété hyperespace. C'est calme et frais.

L'analyse commence, une ligne de perturbation éclate entre votre vaisseau amiral et la Porte. Les spirales et les ondulations se répandent et surgissent en éclats non newtoniens à partir d'un point situé au centre de la Porte. Non, pas un point – un cercle, une sphère, un tore et un entonnoir inversé ; puis une géométrie qui n'analyse pas.

Vous entendez la musique faible.

""Capitaine"", rapporte votre officier des capteurs, ""L'analyse est terminée.""",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","Votre écran de commande affiche le collecteur hyperespace. C'est calme et frais.

Le faisceau de balayage s'éclaire dans l'affichage hyperdimensionnel. Des spirales et des ondulations se répandent en rafales depuis la Porte, déferlant dans une géométrie inconcevable. Vous entendez un filet de musique faible.

""Capitaine"", rapporte votre officier des capteurs, ""L'analyse est terminée.""",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Fly through the Gate,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Travel through the Gate,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Scan the Gate,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Leave,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Continue,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"Vous accompagnez personnellement le groupe de fidèles Luddic qui veillaient depuis votre vaisseau amiral. Leur flotte revient ; leur dévouement collectif ininterrompu.

""Bénédictions de Ludd sur vous, capitaine"", dit leur chef. ""Je dirai du bien de vous au Prophète Revenu.""

Vous savez hocher la tête en signe d'acceptation sans soulever de questions théologiques et faire un signe poli lorsque leur navette quitte la baie.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Turn ON ""allow player to scan gates""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Turn OFF ""allow player to scan gates""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Turn ON ""gates active""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Turn OFF ""gates active""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Turn ON ""player can use gates""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Turn OFF ""player can use gates""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explode the gate,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
