name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Spécification de module de base,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"Une collection de notes, de lignes directrices et d'exemples pratiques qui permettent d'adapter et d'appliquer cette modification à différentes coques.",50
,,,,,,,,,,,,,,,
# éléments classés par secteur,,,,,,,,,,,,,,,
Nanoforge corrompue,corrupted_nanoforge,"nanoforge, pather4",Domain Restricted,,50000,1000,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Une « boîte noire » manufacturière puissante et polyvalente, capable de se construire à l'échelle industrielle, moyennant les matières premières et l'assistance humaine nécessaires.

Celui-ci a connu des jours meilleurs et est incapable de produire de manière fiable des composants sans défaut. Néanmoins, avoir accès à une nanoforge constitue un progrès en matière de construction de vaisseaux spatiaux.",139
Nanoforge vierge,pristine_nanoforge,"nanoforge, hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/nanoforge_pristine.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"heavyindustry, orbitalworks","Une « boîte noire » manufacturière puissante et polyvalente, capable de se construire à l'échelle industrielle, moyennant les matières premières et l'assistance humaine nécessaires.

Celui-ci est comme neuf, du moins selon ses diagnostics embarqués. En pratique, obtenir des composants de vaisseau sans défaut reste un défi étant donné l'état général de la fabrication dans le secteur, mais cette nanoforge est aussi performante que possible.",139.1
Noyau de synchrotron,synchrotron,"hist3t, pather4",Domain Restricted,,250000,1000,1,EXTREME,graphics/icons/cargo/synchrotron_core.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,fuelprod,"Une nanoforge spécialisée, chargée de micrologiciels et de nanotechnologies de départ pour se transformer en un synchrotron permettant la production d'antimatière à l'échelle industrielle.",139.2
Lampe à fusion orbitale,orbital_fusion_lamp,"hist3t, pather4",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fusion_lamp.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Un réacteur à fusion miniaturisé à puissance variable capable de fournir suffisamment de lumière et de chaleur à une planète.

Un fonctionnement sûr nécessite des quantités prodigieuses de substances volatiles. Si la demande n’est pas satisfaite, le réacteur souffre d’une instabilité potentiellement dangereuse, pouvant conduire à une augmentation incontrôlée de la production. Des litiges sur la question de savoir si cet appareil est de conception intrinsèquement dangereuse ou simplement utilisé de manière dangereuse étaient en cours devant les tribunaux du domaine au moment de l'effondrement.",135
Robinet Hypershunt,coronal_portal,"hist3t, pather8",Domain Restricted,,300000,1000,1,EXTREME,graphics/icons/cargo/hypershunt_tap.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,population,"Une interface de trou de ver miniaturisée qui peut être activée pour exploiter un hypershunt coronal à proximité, fournissant à une colonie une puissance pratiquement illimitée.

L'exploitation nécessite des quantités industrielles de transplutoniques, qui sont d'abord utilisées pour ouvrir le trou de ver, puis - une fois que l'énergie consommée devient auto-entretenue - sont consommées dans un processus ablatif compliqué qui maintient la stabilité du trou de ver. Toute interruption d'alimentation nécessite un arrêt complet du robinet.",137
Alésage du manteau autonome,mantle_bore,"hist3t, pather4",Eridani-Utopia Terraforming,,80000,1000,1,EXTREME,graphics/icons/cargo/terraforming_bore.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,"Bien que l'on pense qu'il ne reste plus d'unités de commande fonctionnelles dans le secteur, le forage lui-même est capable d'un fonctionnement indépendant - bien que parfois imprévisible. Les sécurités en mode automatique empêchent son utilisation sur des mondes habitables.",140
Noyau catalytique,catalytic_core,"hist3t, pather4",Ko Combine,,100000,1000,1,EXTREME,graphics/icons/cargo/catalytic_core.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,refining,Améliore considérablement l’efficacité des opérations de raffinage grâce à une bizarrerie surprenante de la physique de l’osmose. Son fonctionnement nécessite un accès au vide à une échelle difficile à atteindre sur des planètes ayant une pression atmosphérique importante.,145
Nanites du sol,soil_nanites,"hist3t, pather4",Eridani-Utopia Terraforming,,60000,1000,1,EXTREME,graphics/icons/cargo/soil_nanites.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,farming,"Permet l’enrichissement et la récupération des sols à un rythme bien supérieur à celui auquel les processus naturels non assistés se produisent. Le règlement Domain Nanite Safety 4324, sous-section 81, interdit l'utilisation sur des mondes contenant du minerai transplutonique ou des dépôts volatils, et malheureusement, la sécurité intégrée semble être fonctionnelle.",150
Embryon de biousine,biofactory_embryo,"hist3t, pather4",Exodyne Biotech,,120000,1000,1,EXTREME,graphics/icons/cargo/biofactory_embryo.png,ui_cargo_special_biotech_pickup,ui_cargo_special_bio_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,lightindustry,"Une gamme vertigineuse de biens de consommation peuvent être cultivés plutôt que fabriqués. La biousine entièrement extrudée ne prospère que dans l’équilibre délicat entre la lumière du soleil, les nutriments du sol et les conditions atmosphériques qu’un monde habitable peut offrir. Les tentatives visant à imiter ces conditions dans des environnements artificiels échouent toujours, rendant l’usine malade, probablement à cause d’une sécurité intégrée génétiquement codée.",155
Bobine de fullerène,fullerene_spool,"hist3t, pather4",Fabrique Orbitale,,150000,1000,1,EXTREME,graphics/icons/cargo/fullerene_spool.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"spaceport, megaport","Un câble nanomesh en carbone ultra résistant, essentiel à la construction d'un ascenseur spatial. Améliore considérablement l'efficacité de la logistique entre la surface d'une planète et l'orbite basse.",160
Dynamo plasma,plasma_dynamo,"hist3t, pather4",Fabrique Orbitale,,100000,1000,1,EXTREME,graphics/icons/cargo/plasma_dynamo.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,mining,La pièce maîtresse à bride supraconductrice d'un système industriel qui crée un réseau de plasma à l'échelle planétaire permettant une extraction efficace et spectaculaire des substances volatiles de l'atmosphère d'une géante gazeuse appropriée.,165
Moteur cryoarithmétique,cryoarithmetic_engine,"hist3t, pather4",Domain Restricted,,200000,1000,1,EXTREME,graphics/icons/cargo/cryoarithmetic_engine.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"patrolhq, militarybase, highcommand","Un ordinateur quantique qui viole la deuxième loi de la thermodynamique en devenant plus froid au lieu de plus chaud lors de l'exécution de calculs.

Un réseau massif de vrilles à l'échelle de la planète – se terminant par des dissipateurs thermiques – s'extrude, utilisant la chaleur pour alimenter la croissance et la poursuite des calculs. Plus la surface de la planète est chaude, plus le moteur de calcul est efficace. La capacité de traitement inégalée est une aubaine pour la planification logistique et stratégique.",170
Réplicateur de drone de combat,drone_replicator,"hist3t, pather4",Ko Combine,,60000,1000,1,EXTREME,graphics/icons/cargo/combat_drone_replicator.png,ui_cargo_special_military_pickup,ui_cargo_special_military_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,"grounddefenses, heavybatteries","Produit en masse un certain nombre de variantes de drones, toutes adaptées à diverses tâches liées à la défense planétaire contre les raids et les invasions, ainsi qu'aux actions de sécurité locales.

Son utilisation a été interdite par le Domaine plusieurs cycles avant l'Effondrement, il est donc surprenant de trouver un exemple fonctionnel dans le secteur Persean.",175
Holosuite de négociateur,dealmaker_holosuite,"hist3t, pather4",Mbaye-Gogol,,120000,1000,1,EXTREME,graphics/icons/cargo/holosuite.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,com.fs.starfarer.api.campaign.impl.items.GenericSpecialItemPlugin,commerce,"Génère un environnement interactif conçu pour stimuler les négociations avec des partenaires commerciaux potentiels. De plus, les systèmes de capteurs intelligents de microémotions auto-adaptatifs intégrés à ces suites VR haut de gamme permettent un suivi en temps réel de la véracité de l'expression, offrant ainsi un avantage technique et éthique dans les relations commerciales à l'exploitant de l'installation.  

Les supports marketing intégrés tiennent à souligner qu'il ne s'agit pas d'une IA, mais simplement d'un réseau pondéré sophistiqué en totale conformité avec les réglementations de domaine en vigueur.",180
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# plans,,,,,,,,,,,,,,,
Ensemble de plans de faible technologie,low_tech_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_lowtech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,lowtech_bp,"Permet à l'industrie lourde de construire les coques de navires, les armes et les LPC de combat les plus courants issus de l'école de conception « low tech ».",200
Pack de plans de ligne médiane,midline_package,package_bp,,,25000,1000,1,,graphics/icons/cargo/blueprint_midline.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,midline_bp,"Permet à l'industrie lourde de construire les coques de navires, les armes et les LPC de combat les plus courants issus de l'école de conception « intermédiaire ».",210
Forfait Plan directeur de haute technologie,high_tech_package,package_bp,,,30000,1000,1,,graphics/icons/cargo/blueprint_hightech.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,hightech_bp,"Permet à l'industrie lourde de construire les coques de navires, les armes et les LPC de combat les plus courants issus de l'école de conception « haute technologie ».",220
Ensemble de plans de missiles,missile_package,package_bp,,,20000,1000,1,,graphics/icons/cargo/blueprint_missile.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,missile_bp,Permet à l’industrie lourde de construire une gamme d’armes de missiles les plus courantes.,230
Pack de plans de pirate,pirate_package,package_bp,,,15000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,pirate_bp,"Une collection de hacks, de spécifications de modification après-vente et de tentatives partiellement réussies de récupération de plans corrompus. Permet à l'industrie lourde de construire des coques de mauvaise qualité mais aptes au combat, plus couramment utilisées par les pirates et autres indésirables.",240
