id,type,text1,text2,text3,text4,notes
lightmg,WEAPON,"Une catégorie d'armes à tir rapide vénérables et peu coûteuses, facilement disponibles, qui ont été utilisées efficacement contre les missiles et les chasseurs à courte portée tout au long de l'histoire du combat spatial. Presque inutile contre des cibles correctement blindées.

En raison de la facilité de fabrication et de modification, des centaines de variantes existent. N'importe laquelle de ces armes qui tire rapidement des projectiles inertes à propulsion chimique - facilement produits même par une autoforge rudimentaire - sous un certain calibre peut être classée comme mitrailleuse légère montée sur navire. Les mécanismes qui déterminent les actions de ces armes varient considérablement. 

Populaire auprès des petites embarcations civiles en raison de son faible coût. Les projectiles recouverts de métaux ayant un point de fusion élevé permettent une plus grande vitesse initiale et délivrent une quantité étonnamment grande d'énergie cinétique à courte portée.",,,,
lightdualmg,WEAPON,"Une version améliorée à double canon de la vénérable mitrailleuse légère. Pas efficace contre les cibles blindées, mais il excelle dans un rôle anti-missile et de combat depuis l'aube du combat spatial habité.

Il s'agit d'une double monture de la même arme à projectile chimique inerte et de faible calibre à tir rapide, connue de tous les pilotes du secteur. Une excellente monture de défense ponctuelle, qui excelle à la fois dans un rôle d'interdiction de missile et dans un rôle anti-combattant. 

La grande quantité d'énergie cinétique délivrée aux systèmes de boucliers des vaisseaux ennemis à courte portée provoque généralement une surcharge des émetteurs, une option tactique souvent négligée par les capitaines inexpérimentés.",,,,
lightmortar,WEAPON,"Une arme désuète qui tire des obus anti-blindés avec une cadence de tir, une vitesse initiale et une portée faibles. Sa faible accumulation de flux est une grâce salvatrice.

Les plans d'armes des mortiers légers n'étaient pas du tout destinés aux vaisseaux spatiaux, mais une ingénieuse modification du mécanisme de chargement par la culasse permet une installation et une utilisation en dehors d'un environnement atmosphérique. Au combat, le mortier léger ne peut pas faire grand-chose contre des cibles en mouvement ou protégées en raison de la terrible rotation de sa monture et de sa cadence de tir. Néanmoins, il est souvent utilisé pour former des officiers d'artillerie débutants aux subtilités de la tactique et de la nomenclature balistique spatiale.

Couramment installé sur les yachts privés et les véhicules interplanétaires solos en raison de leur faible masse et de leur faible coût.",,,,
heavymortar,WEAPON,"Une arme désuète qui tire des obus anti-blindés plus gros à une cadence de tir légèrement plus élevée que son cousin plus petit. La vitesse du projectile est faible et sa portée efficace est courte. Une faible accumulation de flux est la seule grâce salvatrice.

Le mortier lourd a été initialement conçu pour être utilisé dans les combats de surface planétaires. Apparemment destiné à briser les fortifications, il a été beaucoup plus utilisé dans les bombardements urbains. Les mécanismes internes robustes permettent une installation et une utilisation en dehors d'un environnement atmosphérique avec seulement des ajustements mineurs, notamment le remplacement du module télémètre/ciblage automatique. Lorsqu'il est utilisé contre des cibles de grande taille, non protégées et se déplaçant lentement, le mortier lourd peut s'avérer très efficace.",,,,
vulcan,WEAPON,"Une arme à tir rapide qui est particulièrement dévastatrice pour les missiles et les chasseurs à bout portant. La précision se dégrade fortement lors de rafales de tirs prolongées. 

Cette plate-forme d'armes multi-canons est construite autour d'un mécanisme de synchronisation avancé généralement fabriqué uniquement par des usines automobiles autorisées par Hegemony. Les cartouches utilisent généralement des pointes d'uranium appauvri et ne sont pas explosives. Plusieurs canons permettent une cadence de tir extrêmement élevée, mais à un coût de flux élevé.",,,,
lightac,WEAPON,"Un canon automatique de petit calibre avec une bonne portée pour une arme aussi légère. Conçu pour contrer les boucliers ennemis, il est particulièrement efficace contre les générateurs les plus faibles montés sur des coques de plus petite taille.

Comprend des cartouches cinétiques à haute vitesse qui constituent une excellente arme d'appui-feu pour les petits bateaux. Le faible taux de rotation de la monture en raison d'un chargeur automatique complexe et d'un refroidissement liquide font du Light Autocannon un mauvais choix contre les chasseurs et les missiles.",,,,
lightdualac,WEAPON,"Une version à double canon du Light Autocannon. Excellente arme de soutien à courte portée et assez efficace pour abattre les boucliers, elle souffre d'une portée efficace plus courte en raison d'un recul élevé.

Une conception mécanique ingénieuse empêche les ports d'éjection d'être bloqués tout en expulsant deux fois plus de douilles usagées que le châssis standard du Light Autocannon. Comme la version à canon unique, l'arme tire des obus à grande vitesse conçus pour percer les boucliers ennemis. Les systèmes de chargement automatique et de refroidissement liquide sont par ailleurs identiques à la version à baril unique.",,,,
lightag,WEAPON,"Un canon de petit calibre conçu pour les combats rapprochés, excellent contre les blindés et doté d'une superbe cadence de tir.

Canon de petit calibre conçu pour tirer des obus hautement explosifs. La conception des systèmes de refroidissement et du chargeur automatique met l'accent sur la sécurité et la prévention des cuissons potentiellement causées par des niveaux de flux élevés. Favorisé par les capitaines de destroyers qui ont quelque chose à prouver.",,,,
fragbomb,WEAPON,"Libère un groupe de bombettes flottant librement qui conservent l'élan du vaisseau lanceur. Les bombettes sont équipées d'un fusible de proximité.

Un projecteur Frag Bomb tire des bombes à fragmentation Mark VI à partir de trois tubes. Non guidées et dépourvues de système de propulsion, les bombettes s'appuient sur un système de ciblage ami ou ennemi. Leur grand nombre leur permet de couvrir une large bande d'espace, créant efficacement une barrière de défense ponctuelle à cet endroit, bien que pour une durée limitée. Lorsque la mèche de proximité est déclenchée par un engin ennemi, la bombette explose, produisant des effets similaires à ceux des armes anti-aériennes.",,,,
clusterbomb,WEAPON,"Libère un groupe de bombettes hautement explosives flottantes. Plus efficace contre les cibles non protégées et lentes.

Un projecteur de bombes à fragmentation est équipé de trois tubes conçus pour tirer des dizaines de bombes pénétratrices à formation explosive Mark II. Les bombettes ne sont pas guidées et n'ont pas de système de propulsion, s'appuyant sur l'élan initial de l'engin de frappe pour engager la cible. Ils sont équipés d'un scanner de ciblage ami ou ennemi et n'exploseront que lorsqu'ils toucheront une cible appropriée. L'explosif à charge creuse est très efficace contre les cibles non protégées. Le nombre de bombes pouvant être déployées par ce système d'arme est stupéfiant et, en tant que tel, il fait de la bombe à fragmentation une arme de déni de zone utile.",,,,
bomb,WEAPON,"Système d'arme éprouvé, la soute à bombes contient plusieurs ogives nucléaires qui dépendent de la vitesse du lanceur pour atteindre leur cible.

Chaque soute à bombes est équipée de plusieurs bombes Comp-X hautement explosives non guidées qui peuvent être larguées une par une. Les bombes n'ont pas de système de propulsion et dépendent de la vitesse de l'engin de lancement pour les transporter vers la cible (c'est-à-dire bombardement en piqué).  Le blindage atmosphérique intrinsèque à la conception confère également aux bombes une durée de vie élevée dans un environnement de défense ponctuelle hostile.",,,,
lightneedler,WEAPON,"Tire des rafales de petites fléchettes à une cadence de tir élevée. Le volume de tir peut rapidement submerger les projecteurs de boucliers, mais est généralement inefficace contre les blindages.

Un Light Needler est un pistolet à fléchettes de petit calibre, conçu pour tirer des munitions sans étui. Dispose d'un système d'alimentation impressionnant qui peut fournir des centaines d'« aiguilles » par seconde. Aucun système d'éjection n'est nécessaire et l'espace économisé est utilisé pour fournir des unités de refroidissement supplémentaires, améliorant considérablement la cadence de tir. 

La doctrine navale du domaine stipule que l'arme doit être utilisée sur les boucliers ennemis à longue portée, mais à la rigueur, les officiers d'artillerie entraîneront leurs Needlers sur les ailes des chasseurs ennemis et les menaces de missiles à longue portée.",,,,
railgun,WEAPON,"Amélioration de haute technologie de l'Autocannon, le railgun tire des balles précises à moyenne portée. Comme l'AC, il excelle pour écraser les générateurs de boucliers ennemis.

Version miniaturisée du canon Gauss, le railgun s'appuie sur un champ magnétique puissant pour tirer des obus à grande vitesse. La précision et la portée sont excellentes et la tourelle est capable de tourner rapidement sans tirer. 

Le railgun est préféré à l'Autocannon par les officiers d'artillerie qui disposent d'une grande capacité de flux.",,,,
shredder,WEAPON,"Un canon rotatif généreusement conçu pour offrir une grande facilité d’utilisation et une grande fiabilité. Pendant ce temps, les officiers d'armement des marines professionnelles du secteur perséen maudissent le Thumper pour avoir récompensé les mauvaises habitudes d'entretien. 

Détruit les missiles et les chasseurs ennemis avec une pluie écrasante de petites charges utiles et d'obus à fragmentation à vitesse moyenne. Bien qu'efficace en termes de flux, ce système d'arme a peu d'effet contre les armures et les boucliers.",,,,
